"Party","Parent Category","Category","Gas","Unit","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","Year_2017"
"Australia","Totals","Total GHG emissions with LULUCF","Aggregate GHGs","kt CO₂ equivalent",604903.782964397,604903.782964397,582969.9124154054,521963.7182668659,503921.6813120037,495048.70508563356,482594.23548791825,489596.7025654911,500512.4396834622,502546.7866895854,516557.7610011745,536153.6936301787,564811.9596464457,562038.8950036622,572493.8798888316,581962.0170010799,610587.520170151,611487.9556912974,627027.9257695349,615682.2562960585,610620.175216434,585955.4283338469,567659.9937174044,558726.0069734036,537737.347885422,533056.3596890434,531635.8368106176,530430.528400776,534695.4484404379
"Austria","Totals","Total GHG emissions with LULUCF","Aggregate GHGs","kt CO₂ equivalent",66681.89887637954,66681.89887637954,65659.29408011667,64087.89285497346,63975.219442516216,64376.572714171394,66440.87546196004,72315.84365418111,63329.99557681493,64494.74333204448,60588.86101923522,63996.24466093072,65058.98746250556,71848.65987909421,86919.31017249808,82194.59257394116,81907.24330765854,84948.16091015755,81976.1850774021,82554.35006197827,75796.42803483322,78889.51858288865,76369.36832692055,74344.44782718766,75835.4538199281,71955.80640088518,74346.1613043706,75217.28027605491,77355.42259127034
"Belarus","Totals","Total GHG emissions with LULUCF","Aggregate GHGs","kt CO₂ equivalent",118169.32887390497,118169.32887390497,106460.31287082133,98576.73579714131,89269.11614370257,63864.07646926574,54771.48958382969,57671.17693725845,63210.8376233553,61057.132808232906,50727.39265250565,47998.109232976974,49162.77193785079,51026.995763418585,56936.68814523382,60082.441159115115,59138.84198162588,59819.19005970276,58674.553930385846,62849.97714171223,53018.335515396066,53639.477828923664,55800.97806068002,62243.09846589915,60241.99713143262,64479.92726245992,62549.58431859161,69679.97784004791,80658.93621438398
"Belgium","Totals","Total GHG emissions with LULUCF","Aggregate GHGs","kt CO₂ equivalent",143273.11128259613,143273.11128259613,146482.63727003394,146266.0265094405,145228.6889725393,150118.83205164378,152035.30710126736,155724.60978092373,147423.31965256954,152050.67066950139,146498.96838108462,147955.1715558429,146490.08870098364,145871.81039353367,146284.5118299901,147676.10056948283,143747.2599833924,141140.25388008784,137650.4240970552,137773.06342971136,125192.81744066982,132590.98426424986,122038.96588211656,119121.93092095738,118982.27147889254,113221.69575416073,116826.37422317044,115497.6687511288,114280.48543322846
"Bulgaria","Totals","Total GHG emissions with LULUCF","Aggregate GHGs","kt CO₂ equivalent",104064.06615561026,89632.04631210731,71723.39800708191,66344.83767975627,66164.67689303838,62645.12393305401,64109.27119903113,61929.41044320837,58982.42636200029,55126.3776867752,48016.8608996527,47378.50915561183,51026.19690920684,47958.44380722056,52299.096941308955,51441.60233961874,51925.78937859788,54483.614299755696,58617.423457619,56344.97572481427,47979.38527509474,50722.22630739833,59363.4464854531,53978.915838340086,48137.720181415905,50493.21510263607,53788.78550340117,50809.791801467734,53335.327403728385
"Canada","Totals","Total GHG emissions with LULUCF","Aggregate GHGs","kt CO₂ equivalent",533943.1628923994,533943.1628923994,518596.53638676915,543730.4344880008,552237.4435693283,571739.2588831787,601824.0414937447,614645.1117523862,627937.0851845897,628349.4333215401,651816.6024711733,688681.7535844758,661777.8791600637,680425.5151625104,691103.3619023038,716267.7496985457,709082.6118329917,691810.435084682,711910.8636149685,685960.1330913971,632333.0059311923,660211.3622653361,670561.327335403,675506.6609021031,689517.7587714278,691261.915870385,696853.642736556,682315.9142321319,692026.5426055363
"Croatia","Totals","Total GHG emissions with LULUCF","Aggregate GHGs","kt CO₂ equivalent",25203.78127438064,25203.78127438064,17171.560441982834,15136.865894918728,15031.321071181956,13831.473231071965,13873.58354914413,14840.820328675785,16589.668376673337,17219.77769148289,17629.488980569095,18894.213733729026,19179.141382420017,19942.224939732794,22221.84536579013,22059.739513582736,22245.274726886546,22861.592029552558,25026.952000405807,23643.490050662298,21344.441938048647,20968.415005284623,21769.28063099246,20269.16938552645,18152.553630824474,17314.116079877716,18812.879120300982,18841.199386878532,20253.16620150938
"Cyprus","Totals","Total GHG emissions with LULUCF","Aggregate GHGs","kt CO₂ equivalent",5417.65820085498,5417.65820085498,5935.67086940424,6361.101434429212,6627.0102114600695,6895.961363231666,6818.548184402697,7157.5615811457055,7276.94318419287,7679.761116379341,7769.380191079033,8455.489711162742,8139.831602774215,8214.413337163553,8588.304510938411,8794.372743329992,8956.435543432506,9090.414387400227,9672.95612829028,9516.404484637882,9233.765361291886,8970.246081732263,8536.566468856352,8016.430497365451,7263.285295494112,7639.710761825823,7730.727674890862,8817.094180424248,8411.258674363815
"Czechia","Totals","Total GHG emissions with LULUCF","Aggregate GHGs","kt CO₂ equivalent",192166.7975514344,192166.7975514344,170758.17261908695,163419.86074004063,156153.04139202385,150990.25248062433,149721.8911199286,152595.26329247374,148643.87407444263,142396.80746137557,132410.35985074102,141446.056824167,140868.94670104847,137645.57789128696,142412.44380658708,143103.71412015948,140457.27560055093,143771.69864066294,147773.11314693198,139780.90989789224,130307.86893877698,134194.82292809052,130901.6516267163,127007.26401004232,122715.84206890021,120838.4802011239,122695.50696412561,124598.65299804015,126540.11009859158
"Denmark","Totals","Total GHG emissions with LULUCF","Aggregate GHGs","kt CO₂ equivalent",75453.68350806109,75453.68350806109,85609.1004553321,80565.00220496759,81535.02201490379,84873.7826617899,81950.67216322891,94532.80744126163,85513.3553956861,81517.26469791475,79402.81609516722,74968.28371399092,77293.35974337939,77787.12829958365,82488.28371407854,76085.6556385029,71541.40767496174,79639.05051852799,72548.20504264685,64302.05446213302,65831.0652241836,63162.14832850896,56327.42597989963,53599.947996153634,56415.75242444891,51937.018832196125,52887.244407016085,55801.179601828364,52197.426071845104
